,id,team_one,team_two,stage,winner,date
0,10223,Los Angeles Valiant,San Francisco Shock,Overwatch League - Stage 1,Los Angeles Valiant,2018-01-11
1,10224,Los Angeles Gladiators,Shanghai Dragons,Overwatch League - Stage 1,Los Angeles Gladiators,2018-01-11
2,10225,Seoul Dynasty,Dallas Fuel,Overwatch League - Stage 1,Seoul Dynasty,2018-01-11
3,10226,Florida Mayhem,London Spitfire,Overwatch League - Stage 1,London Spitfire,2018-01-11
4,10227,Houston Outlaws,Philadelphia Fusion,Overwatch League - Stage 1,Philadelphia Fusion,2018-01-11
5,10228,New York Excelsior,Boston Uprising,Overwatch League - Stage 1,New York Excelsior,2018-01-12
6,10229,Dallas Fuel,Los Angeles Valiant,Overwatch League - Stage 1,Los Angeles Valiant,2018-01-13
7,10230,Boston Uprising,Florida Mayhem,Overwatch League - Stage 1,Boston Uprising,2018-01-13
8,10231,Shanghai Dragons,San Francisco Shock,Overwatch League - Stage 1,San Francisco Shock,2018-01-13
9,10232,Philadelphia Fusion,London Spitfire,Overwatch League - Stage 1,London Spitfire,2018-01-13
10,10233,Houston Outlaws,New York Excelsior,Overwatch League - Stage 1,New York Excelsior,2018-01-13
11,10234,Los Angeles Gladiators,Seoul Dynasty,Overwatch League - Stage 1,Seoul Dynasty,2018-01-13
12,10235,Philadelphia Fusion,San Francisco Shock,Overwatch League - Stage 1,Philadelphia Fusion,2018-01-18
13,10236,Seoul Dynasty,Florida Mayhem,Overwatch League - Stage 1,Seoul Dynasty,2018-01-18
14,10237,Shanghai Dragons,Houston Outlaws,Overwatch League - Stage 1,Houston Outlaws,2018-01-18
15,10238,Houston Outlaws,Dallas Fuel,Overwatch League - Stage 1,Houston Outlaws,2018-01-18
16,10239,Los Angeles Valiant,New York Excelsior,Overwatch League - Stage 1,New York Excelsior,2018-01-19
17,10240,Los Angeles Gladiators,Philadelphia Fusion,Overwatch League - Stage 1,Los Angeles Gladiators,2018-01-19
18,10241,Boston Uprising,Seoul Dynasty,Overwatch League - Stage 1,Seoul Dynasty,2018-01-20
19,10242,Florida Mayhem,Shanghai Dragons,Overwatch League - Stage 1,Florida Mayhem,2018-01-20
20,10243,Dallas Fuel,London Spitfire,Overwatch League - Stage 1,London Spitfire,2018-01-20
21,10244,London Spitfire,Los Angeles Valiant,Overwatch League - Stage 1,London Spitfire,2018-01-20
22,10245,New York Excelsior,Los Angeles Gladiators,Overwatch League - Stage 1,New York Excelsior,2018-01-20
23,10246,San Francisco Shock,Boston Uprising,Overwatch League - Stage 1,San Francisco Shock,2018-01-20
24,10247,London Spitfire,San Francisco Shock,Overwatch League - Stage 1,London Spitfire,2018-01-25
25,10248,Seoul Dynasty,Shanghai Dragons,Overwatch League - Stage 1,Seoul Dynasty,2018-01-25
26,10249,Los Angeles Valiant,Los Angeles Gladiators,Overwatch League - Stage 1,Los Angeles Valiant,2018-01-25
27,10250,London Spitfire,Boston Uprising,Overwatch League - Stage 1,Boston Uprising,2018-01-25
28,10251,New York Excelsior,Philadelphia Fusion,Overwatch League - Stage 1,Philadelphia Fusion,2018-01-26
29,10252,Florida Mayhem,Houston Outlaws,Overwatch League - Stage 1,Houston Outlaws,2018-01-26
30,10253,New York Excelsior,Seoul Dynasty,Overwatch League - Stage 1,New York Excelsior,2018-01-27
31,10254,Philadelphia Fusion,Shanghai Dragons,Overwatch League - Stage 1,Philadelphia Fusion,2018-01-27
32,10255,San Francisco Shock,Dallas Fuel,Overwatch League - Stage 1,Dallas Fuel,2018-01-27
33,10256,Boston Uprising,Dallas Fuel,Overwatch League - Stage 1,Boston Uprising,2018-01-27
34,10257,Florida Mayhem,Los Angeles Valiant,Overwatch League - Stage 1,Los Angeles Valiant,2018-01-27
35,10258,Houston Outlaws,Los Angeles Gladiators,Overwatch League - Stage 1,Houston Outlaws,2018-01-27
36,10259,Philadelphia Fusion,Los Angeles Valiant,Overwatch League - Stage 1,Los Angeles Valiant,2018-02-01
37,10260,Los Angeles Gladiators,Florida Mayhem,Overwatch League - Stage 1,Los Angeles Gladiators,2018-02-01
38,10261,San Francisco Shock,Houston Outlaws,Overwatch League - Stage 1,Houston Outlaws,2018-02-01
39,10262,Dallas Fuel,Philadelphia Fusion,Overwatch League - Stage 1,Philadelphia Fusion,2018-02-01
40,10263,Shanghai Dragons,New York Excelsior,Overwatch League - Stage 1,New York Excelsior,2018-02-02
41,10264,Seoul Dynasty,London Spitfire,Overwatch League - Stage 1,London Spitfire,2018-02-02
42,10265,Florida Mayhem,San Francisco Shock,Overwatch League - Stage 1,San Francisco Shock,2018-02-03
43,10266,Houston Outlaws,Seoul Dynasty,Overwatch League - Stage 1,Seoul Dynasty,2018-02-03
44,10267,Boston Uprising,Los Angeles Gladiators,Overwatch League - Stage 1,Boston Uprising,2018-02-03
45,10268,London Spitfire,Shanghai Dragons,Overwatch League - Stage 1,London Spitfire,2018-02-03
46,10269,New York Excelsior,Dallas Fuel,Overwatch League - Stage 1,New York Excelsior,2018-02-03
47,10270,Los Angeles Valiant,Boston Uprising,Overwatch League - Stage 1,Boston Uprising,2018-02-03
48,10564,Dallas Fuel,Shanghai Dragons,Overwatch League - Stage 1,Dallas Fuel,2018-02-08
49,10565,Los Angeles Gladiators,San Francisco Shock,Overwatch League - Stage 1,Los Angeles Gladiators,2018-02-08
50,10566,Seoul Dynasty,Los Angeles Valiant,Overwatch League - Stage 1,Los Angeles Valiant,2018-02-08
51,10567,Boston Uprising,Philadelphia Fusion,Overwatch League - Stage 1,Boston Uprising,2018-02-08
52,10568,New York Excelsior,Florida Mayhem,Overwatch League - Stage 1,New York Excelsior,2018-02-09
53,10569,Houston Outlaws,London Spitfire,Overwatch League - Stage 1,Houston Outlaws,2018-02-09
