,id,team_one,team_two,stage,winner,date
54,10570,Dallas Fuel,Los Angeles Gladiators,Overwatch League - Stage 1,Dallas Fuel,2018-02-10
55,10571,San Francisco Shock,Seoul Dynasty,Overwatch League - Stage 1,Seoul Dynasty,2018-02-10
56,10572,Shanghai Dragons,Los Angeles Valiant,Overwatch League - Stage 1,Los Angeles Valiant,2018-02-10
57,10573,London Spitfire,New York Excelsior,Overwatch League - Stage 1,New York Excelsior,2018-02-10
58,10574,Boston Uprising,Houston Outlaws,Overwatch League - Stage 1,Houston Outlaws,2018-02-10
59,10575,Philadelphia Fusion,Florida Mayhem,Overwatch League - Stage 1,Philadelphia Fusion,2018-02-11
60,10537,Houston Outlaws,London Spitfire,Overwatch League - Stage 1 - Title Matches,London Spitfire,2018-02-11
61,10539,New York Excelsior,London Spitfire,Overwatch League - Stage 1 - Title Matches,London Spitfire,2018-02-11
62,10278,Los Angeles Valiant,Seoul Dynasty,Overwatch League - Stage 2,Seoul Dynasty,2018-02-22
63,10279,Shanghai Dragons,Dallas Fuel,Overwatch League - Stage 2,Dallas Fuel,2018-02-22
64,10280,San Francisco Shock,Los Angeles Gladiators,Overwatch League - Stage 2,Los Angeles Gladiators,2018-02-22
65,10281,London Spitfire,Houston Outlaws,Overwatch League - Stage 2,Houston Outlaws,2018-02-23
66,10282,Florida Mayhem,New York Excelsior,Overwatch League - Stage 2,New York Excelsior,2018-02-23
67,10283,Philadelphia Fusion,Boston Uprising,Overwatch League - Stage 2,Philadelphia Fusion,2018-02-23
68,10284,New York Excelsior,London Spitfire,Overwatch League - Stage 2,London Spitfire,2018-02-24
69,10285,Los Angeles Gladiators,Dallas Fuel,Overwatch League - Stage 2,Dallas Fuel,2018-02-24
70,10286,Seoul Dynasty,San Francisco Shock,Overwatch League - Stage 2,Seoul Dynasty,2018-02-24
71,10287,Florida Mayhem,Philadelphia Fusion,Overwatch League - Stage 2,Philadelphia Fusion,2018-02-24
72,10288,Houston Outlaws,Boston Uprising,Overwatch League - Stage 2,Houston Outlaws,2018-02-24
73,10289,Los Angeles Valiant,Shanghai Dragons,Overwatch League - Stage 2,Los Angeles Valiant,2018-02-25
74,10290,Dallas Fuel,Seoul Dynasty,Overwatch League - Stage 2,Seoul Dynasty,2018-03-01
75,10291,San Francisco Shock,Los Angeles Valiant,Overwatch League - Stage 2,Los Angeles Valiant,2018-03-01
76,10292,Shanghai Dragons,Los Angeles Gladiators,Overwatch League - Stage 2,Los Angeles Gladiators,2018-03-01
77,10293,London Spitfire,Florida Mayhem,Overwatch League - Stage 2,London Spitfire,2018-03-02
78,10294,Philadelphia Fusion,Houston Outlaws,Overwatch League - Stage 2,Philadelphia Fusion,2018-03-02
79,10295,Boston Uprising,New York Excelsior,Overwatch League - Stage 2,New York Excelsior,2018-03-02
80,10296,Florida Mayhem,Boston Uprising,Overwatch League - Stage 2,Boston Uprising,2018-03-03
81,10297,Seoul Dynasty,Los Angeles Gladiators,Overwatch League - Stage 2,Seoul Dynasty,2018-03-03
82,10298,Los Angeles Valiant,Dallas Fuel,Overwatch League - Stage 2,Los Angeles Valiant,2018-03-03
83,10299,London Spitfire,Philadelphia Fusion,Overwatch League - Stage 2,London Spitfire,2018-03-03
84,10300,New York Excelsior,Houston Outlaws,Overwatch League - Stage 2,New York Excelsior,2018-03-03
85,10301,San Francisco Shock,Shanghai Dragons,Overwatch League - Stage 2,San Francisco Shock,2018-03-04
86,10302,Shanghai Dragons,Seoul Dynasty,Overwatch League - Stage 2,Seoul Dynasty,2018-03-08
87,10303,Dallas Fuel,San Francisco Shock,Overwatch League - Stage 2,San Francisco Shock,2018-03-08
88,10304,Los Angeles Gladiators,Los Angeles Valiant,Overwatch League - Stage 2,Los Angeles Gladiators,2018-03-08
89,10305,Seoul Dynasty,Philadelphia Fusion,Overwatch League - Stage 2,Seoul Dynasty,2018-03-09
90,10306,Los Angeles Valiant,Houston Outlaws,Overwatch League - Stage 2,Los Angeles Valiant,2018-03-09
91,10307,Shanghai Dragons,Boston Uprising,Overwatch League - Stage 2,Boston Uprising,2018-03-09
92,10308,Boston Uprising,London Spitfire,Overwatch League - Stage 2,London Spitfire,2018-03-10
93,10309,Philadelphia Fusion,New York Excelsior,Overwatch League - Stage 2,New York Excelsior,2018-03-10
94,10310,Houston Outlaws,Florida Mayhem,Overwatch League - Stage 2,Houston Outlaws,2018-03-10
95,10311,Los Angeles Gladiators,London Spitfire,Overwatch League - Stage 2,Los Angeles Gladiators,2018-03-10
96,10312,San Francisco Shock,New York Excelsior,Overwatch League - Stage 2,New York Excelsior,2018-03-10
97,10313,Dallas Fuel,Florida Mayhem,Overwatch League - Stage 2,Florida Mayhem,2018-03-11
98,10314,Dallas Fuel,Boston Uprising,Overwatch League - Stage 2,Boston Uprising,2018-03-14
99,10315,Seoul Dynasty,New York Excelsior,Overwatch League - Stage 2,New York Excelsior,2018-03-15
100,10316,Shanghai Dragons,Philadelphia Fusion,Overwatch League - Stage 2,Philadelphia Fusion,2018-03-15
101,10317,New York Excelsior,Shanghai Dragons,Overwatch League - Stage 2,New York Excelsior,2018-03-15
102,10318,Los Angeles Valiant,Florida Mayhem,Overwatch League - Stage 2,Florida Mayhem,2018-03-16
103,10319,Los Angeles Gladiators,Houston Outlaws,Overwatch League - Stage 2,Los Angeles Gladiators,2018-03-16
104,10320,Florida Mayhem,Los Angeles Gladiators,Overwatch League - Stage 2,Los Angeles Gladiators,2018-03-16
105,10321,San Francisco Shock,London Spitfire,Overwatch League - Stage 2,London Spitfire,2018-03-17
106,10322,Boston Uprising,Los Angeles Valiant,Overwatch League - Stage 2,Boston Uprising,2018-03-17
107,10323,London Spitfire,Seoul Dynasty,Overwatch League - Stage 2,London Spitfire,2018-03-17
108,10324,Houston Outlaws,San Francisco Shock,Overwatch League - Stage 2,San Francisco Shock,2018-03-17
109,10325,Philadelphia Fusion,Dallas Fuel,Overwatch League - Stage 2,Philadelphia Fusion,2018-03-18
110,10576,Philadelphia Fusion,Los Angeles Gladiators,Overwatch League - Stage 2,Philadelphia Fusion,2018-03-21
111,10577,San Francisco Shock,Florida Mayhem,Overwatch League - Stage 2,Florida Mayhem,2018-03-22
112,10578,Houston Outlaws,Shanghai Dragons,Overwatch League - Stage 2,Houston Outlaws,2018-03-22
113,10579,Seoul Dynasty,Houston Outlaws,Overwatch League - Stage 2,Houston Outlaws,2018-03-22
114,10580,Dallas Fuel,New York Excelsior,Overwatch League - Stage 2,New York Excelsior,2018-03-23
115,10581,Boston Uprising,San Francisco Shock,Overwatch League - Stage 2,Boston Uprising,2018-03-23
116,10582,Florida Mayhem,Seoul Dynasty,Overwatch League - Stage 2,Seoul Dynasty,2018-03-23
117,10583,Los Angeles Valiant,Philadelphia Fusion,Overwatch League - Stage 2,Philadelphia Fusion,2018-03-24
118,10584,Shanghai Dragons,London Spitfire,Overwatch League - Stage 2,London Spitfire,2018-03-24
119,10585,London Spitfire,Dallas Fuel,Overwatch League - Stage 2,London Spitfire,2018-03-24
120,10586,New York Excelsior,Los Angeles Valiant,Overwatch League - Stage 2,New York Excelsior,2018-03-24
121,10587,Los Angeles Gladiators,Boston Uprising,Overwatch League - Stage 2,Boston Uprising,2018-03-25
122,10540,London Spitfire,Philadelphia Fusion,Overwatch League - Stage 2 Title Matches,Philadelphia Fusion,2018-03-25
123,10542,New York Excelsior,Philadelphia Fusion,Overwatch League - Stage 2 Title Matches,New York Excelsior,2018-03-25
124,10333,Dallas Fuel,Shanghai Dragons,Overwatch League - Stage 3,Dallas Fuel,2018-04-04
125,10334,Seoul Dynasty,Los Angeles Valiant,Overwatch League - Stage 3,Los Angeles Valiant,2018-04-05
126,10335,Los Angeles Gladiators,San Francisco Shock,Overwatch League - Stage 3,San Francisco Shock,2018-04-05
127,10336,New York Excelsior,Florida Mayhem,Overwatch League - Stage 3,New York Excelsior,2018-04-05
128,10337,Boston Uprising,Philadelphia Fusion,Overwatch League - Stage 3,Boston Uprising,2018-04-06
129,10338,Houston Outlaws,London Spitfire,Overwatch League - Stage 3,Houston Outlaws,2018-04-06
130,10339,Dallas Fuel,Los Angeles Gladiators,Overwatch League - Stage 3,Los Angeles Gladiators,2018-04-06
131,10340,Shanghai Dragons,Los Angeles Valiant,Overwatch League - Stage 3,Los Angeles Valiant,2018-04-07
132,10341,San Francisco Shock,Seoul Dynasty,Overwatch League - Stage 3,Seoul Dynasty,2018-04-07
133,10342,Philadelphia Fusion,Florida Mayhem,Overwatch League - Stage 3,Philadelphia Fusion,2018-04-07
134,10343,Boston Uprising,Houston Outlaws,Overwatch League - Stage 3,Boston Uprising,2018-04-07
135,10344,London Spitfire,New York Excelsior,Overwatch League - Stage 3,New York Excelsior,2018-04-07
136,10345,Los Angeles Gladiators,Shanghai Dragons,Overwatch League - Stage 3,Los Angeles Gladiators,2018-04-11
137,10346,Los Angeles Valiant,San Francisco Shock,Overwatch League - Stage 3,Los Angeles Valiant,2018-04-12
138,10347,Seoul Dynasty,Dallas Fuel,Overwatch League - Stage 3,Seoul Dynasty,2018-04-12
139,10348,New York Excelsior,Boston Uprising,Overwatch League - Stage 3,Boston Uprising,2018-04-12
140,10349,Florida Mayhem,London Spitfire,Overwatch League - Stage 3,London Spitfire,2018-04-13
141,10350,Houston Outlaws,Philadelphia Fusion,Overwatch League - Stage 3,Philadelphia Fusion,2018-04-13
142,10351,Dallas Fuel,Los Angeles Valiant,Overwatch League - Stage 3,Los Angeles Valiant,2018-04-13
143,10352,Shanghai Dragons,San Francisco Shock,Overwatch League - Stage 3,San Francisco Shock,2018-04-14
144,10353,Los Angeles Gladiators,Seoul Dynasty,Overwatch League - Stage 3,Los Angeles Gladiators,2018-04-14
145,10354,Philadelphia Fusion,London Spitfire,Overwatch League - Stage 3,Philadelphia Fusion,2018-04-14
146,10355,Houston Outlaws,New York Excelsior,Overwatch League - Stage 3,New York Excelsior,2018-04-14
147,10356,Boston Uprising,Florida Mayhem,Overwatch League - Stage 3,Boston Uprising,2018-04-15
148,10357,Los Angeles Valiant,Los Angeles Gladiators,Overwatch League - Stage 3,Los Angeles Valiant,2018-04-18
149,10358,San Francisco Shock,Dallas Fuel,Overwatch League - Stage 3,San Francisco Shock,2018-04-19
150,10359,Seoul Dynasty,Shanghai Dragons,Overwatch League - Stage 3,Seoul Dynasty,2018-04-19
151,10360,Florida Mayhem,Houston Outlaws,Overwatch League - Stage 3,Houston Outlaws,2018-04-19
152,10361,London Spitfire,Boston Uprising,Overwatch League - Stage 3,Boston Uprising,2018-04-20
153,10362,New York Excelsior,Philadelphia Fusion,Overwatch League - Stage 3,New York Excelsior,2018-04-20
154,10363,San Francisco Shock,Philadelphia Fusion,Overwatch League - Stage 3,San Francisco Shock,2018-04-20
155,10364,Shanghai Dragons,Florida Mayhem,Overwatch League - Stage 3,Florida Mayhem,2018-04-21
156,10365,Seoul Dynasty,Boston Uprising,Overwatch League - Stage 3,Boston Uprising,2018-04-21
157,10366,Los Angeles Valiant,London Spitfire,Overwatch League - Stage 3,London Spitfire,2018-04-21
158,10367,Los Angeles Gladiators,New York Excelsior,Overwatch League - Stage 3,New York Excelsior,2018-04-21
159,10368,Dallas Fuel,Houston Outlaws,Overwatch League - Stage 3,Houston Outlaws,2018-04-22
160,10369,Boston Uprising,Shanghai Dragons,Overwatch League - Stage 3,Boston Uprising,2018-04-25
161,10370,Houston Outlaws,Los Angeles Valiant,Overwatch League - Stage 3,Houston Outlaws,2018-04-26
162,10371,Florida Mayhem,Dallas Fuel,Overwatch League - Stage 3,Florida Mayhem,2018-04-26
163,10372,London Spitfire,Los Angeles Gladiators,Overwatch League - Stage 3,Los Angeles Gladiators,2018-04-26
164,10373,New York Excelsior,San Francisco Shock,Overwatch League - Stage 3,New York Excelsior,2018-04-27
165,10374,Philadelphia Fusion,Seoul Dynasty,Overwatch League - Stage 3,Seoul Dynasty,2018-04-27
166,10375,Boston Uprising,Dallas Fuel,Overwatch League - Stage 3,Boston Uprising,2018-04-27
167,10376,Houston Outlaws,Los Angeles Gladiators,Overwatch League - Stage 3,Los Angeles Gladiators,2018-04-28
168,10377,Florida Mayhem,Los Angeles Valiant,Overwatch League - Stage 3,Los Angeles Valiant,2018-04-28
169,10378,London Spitfire,San Francisco Shock,Overwatch League - Stage 3,London Spitfire,2018-04-28
170,10379,New York Excelsior,Seoul Dynasty,Overwatch League - Stage 3,New York Excelsior,2018-04-28
171,10380,Philadelphia Fusion,Shanghai Dragons,Overwatch League - Stage 3,Philadelphia Fusion,2018-04-28
172,10588,Dallas Fuel,Philadelphia Fusion,Overwatch League - Stage 3,Philadelphia Fusion,2018-05-02
173,10589,Los Angeles Gladiators,Florida Mayhem,Overwatch League - Stage 3,Los Angeles Gladiators,2018-05-03
174,10590,San Francisco Shock,Houston Outlaws,Overwatch League - Stage 3,San Francisco Shock,2018-05-03
175,10591,Florida Mayhem,San Francisco Shock,Overwatch League - Stage 3,San Francisco Shock,2018-05-03
176,10592,Los Angeles Valiant,Boston Uprising,Overwatch League - Stage 3,Boston Uprising,2018-05-04
177,10593,New York Excelsior,Dallas Fuel,Overwatch League - Stage 3,New York Excelsior,2018-05-04
178,10594,Boston Uprising,Los Angeles Gladiators,Overwatch League - Stage 3,Boston Uprising,2018-05-04
179,10595,Shanghai Dragons,New York Excelsior,Overwatch League - Stage 3,New York Excelsior,2018-05-05
180,10596,Seoul Dynasty,London Spitfire,Overwatch League - Stage 3,London Spitfire,2018-05-05
181,10597,London Spitfire,Shanghai Dragons,Overwatch League - Stage 3,London Spitfire,2018-05-05
182,10598,Houston Outlaws,Seoul Dynasty,Overwatch League - Stage 3,Seoul Dynasty,2018-05-05
183,10599,Philadelphia Fusion,Los Angeles Valiant,Overwatch League - Stage 3,Los Angeles Valiant,2018-05-06
184,10543,Boston Uprising,Los Angeles Gladiators,Overwatch League - Stage 3 Title Matches,Boston Uprising,2018-05-06
185,10544,New York Excelsior,Los Angeles Valiant,Overwatch League - Stage 3 Title Matches,New York Excelsior,2018-05-06
186,10545,Boston Uprising,New York Excelsior,Overwatch League - Stage 3 Title Matches,New York Excelsior,2018-05-06
187,10443,San Francisco Shock,Los Angeles Gladiators,Overwatch League - Stage 4,Los Angeles Gladiators,2018-05-16
188,10444,Los Angeles Valiant,Seoul Dynasty,Overwatch League - Stage 4,Los Angeles Valiant,2018-05-17
189,10445,Shanghai Dragons,Dallas Fuel,Overwatch League - Stage 4,Dallas Fuel,2018-05-17
190,10446,Philadelphia Fusion,Boston Uprising,Overwatch League - Stage 4,Philadelphia Fusion,2018-05-17
191,10447,Florida Mayhem,New York Excelsior,Overwatch League - Stage 4,New York Excelsior,2018-05-18
192,10448,London Spitfire,Houston Outlaws,Overwatch League - Stage 4,Houston Outlaws,2018-05-18
193,10449,Los Angeles Gladiators,Dallas Fuel,Overwatch League - Stage 4,Los Angeles Gladiators,2018-05-18
194,10450,Houston Outlaws,Boston Uprising,Overwatch League - Stage 4,Houston Outlaws,2018-05-19
195,10451,Seoul Dynasty,San Francisco Shock,Overwatch League - Stage 4,San Francisco Shock,2018-05-19
196,10452,Florida Mayhem,Philadelphia Fusion,Overwatch League - Stage 4,Philadelphia Fusion,2018-05-19
197,10453,Los Angeles Valiant,Shanghai Dragons,Overwatch League - Stage 4,Los Angeles Valiant,2018-05-19
198,10454,New York Excelsior,London Spitfire,Overwatch League - Stage 4,New York Excelsior,2018-05-20
199,10455,Dallas Fuel,Boston Uprising,Overwatch League - Stage 4,Dallas Fuel,2018-05-23
200,10456,Los Angeles Valiant,Florida Mayhem,Overwatch League - Stage 4,Los Angeles Valiant,2018-05-24
201,10457,Los Angeles Gladiators,Houston Outlaws,Overwatch League - Stage 4,Los Angeles Gladiators,2018-05-24
202,10458,San Francisco Shock,London Spitfire,Overwatch League - Stage 4,London Spitfire,2018-05-24
203,10459,Florida Mayhem,Los Angeles Gladiators,Overwatch League - Stage 4,Los Angeles Gladiators,2018-05-25
204,10460,Shanghai Dragons,Philadelphia Fusion,Overwatch League - Stage 4,Philadelphia Fusion,2018-05-25
205,10461,Boston Uprising,Los Angeles Valiant,Overwatch League - Stage 4,Los Angeles Valiant,2018-05-25
206,10462,Seoul Dynasty,New York Excelsior,Overwatch League - Stage 4,New York Excelsior,2018-05-26
207,10463,Houston Outlaws,San Francisco Shock,Overwatch League - Stage 4,San Francisco Shock,2018-05-26
208,10464,London Spitfire,Seoul Dynasty,Overwatch League - Stage 4,London Spitfire,2018-05-26
209,10465,New York Excelsior,Shanghai Dragons,Overwatch League - Stage 4,New York Excelsior,2018-05-26
210,10466,Philadelphia Fusion,Dallas Fuel,Overwatch League - Stage 4,Dallas Fuel,2018-05-27
211,10467,Philadelphia Fusion,New York Excelsior,Overwatch League - Stage 4,New York Excelsior,2018-05-30
212,10468,Shanghai Dragons,Seoul Dynasty,Overwatch League - Stage 4,Seoul Dynasty,2018-05-31
213,10469,Los Angeles Gladiators,Los Angeles Valiant,Overwatch League - Stage 4,Los Angeles Valiant,2018-05-31
214,10470,Boston Uprising,London Spitfire,Overwatch League - Stage 4,London Spitfire,2018-05-31
215,10471,Dallas Fuel,San Francisco Shock,Overwatch League - Stage 4,San Francisco Shock,2018-06-01
216,10472,Los Angeles Gladiators,Philadelphia Fusion,Overwatch League - Stage 4,Los Angeles Gladiators,2018-06-01
217,10473,Shanghai Dragons,Houston Outlaws,Overwatch League - Stage 4,Houston Outlaws,2018-06-01
218,10474,Seoul Dynasty,Florida Mayhem,Overwatch League - Stage 4,Seoul Dynasty,2018-06-02
219,10475,San Francisco Shock,Boston Uprising,Overwatch League - Stage 4,San Francisco Shock,2018-06-02
220,10476,Dallas Fuel,London Spitfire,Overwatch League - Stage 4,Dallas Fuel,2018-06-02
221,10477,Los Angeles Valiant,New York Excelsior,Overwatch League - Stage 4,Los Angeles Valiant,2018-06-02
222,10478,Houston Outlaws,Florida Mayhem,Overwatch League - Stage 4,Houston Outlaws,2018-06-03
223,10479,Boston Uprising,Seoul Dynasty,Overwatch League - Stage 4,Boston Uprising,2018-06-06
224,10480,Florida Mayhem,Shanghai Dragons,Overwatch League - Stage 4,Florida Mayhem,2018-06-07
225,10481,Houston Outlaws,Dallas Fuel,Overwatch League - Stage 4,Houston Outlaws,2018-06-07
226,10482,London Spitfire,Los Angeles Valiant,Overwatch League - Stage 4,Los Angeles Valiant,2018-06-07
227,10483,New York Excelsior,Los Angeles Gladiators,Overwatch League - Stage 4,Los Angeles Gladiators,2018-06-08
228,10484,Philadelphia Fusion,San Francisco Shock,Overwatch League - Stage 4,Philadelphia Fusion,2018-06-08
229,10485,Shanghai Dragons,Boston Uprising,Overwatch League - Stage 4,Boston Uprising,2018-06-08
230,10486,Dallas Fuel,Florida Mayhem,Overwatch League - Stage 4,Dallas Fuel,2018-06-09
231,10487,Seoul Dynasty,Philadelphia Fusion,Overwatch League - Stage 4,Philadelphia Fusion,2018-06-09
232,10488,Los Angeles Gladiators,London Spitfire,Overwatch League - Stage 4,Los Angeles Gladiators,2018-06-09
233,10489,San Francisco Shock,New York Excelsior,Overwatch League - Stage 4,New York Excelsior,2018-06-09
234,10490,Los Angeles Valiant,Houston Outlaws,Overwatch League - Stage 4,Los Angeles Valiant,2018-06-10
235,10621,Shanghai Dragons,Los Angeles Gladiators,Overwatch League - Stage 4,Los Angeles Gladiators,2018-06-13
236,10622,San Francisco Shock,Los Angeles Valiant,Overwatch League - Stage 4,Los Angeles Valiant,2018-06-14
237,10623,Dallas Fuel,Seoul Dynasty,Overwatch League - Stage 4,Seoul Dynasty,2018-06-14
238,10624,Philadelphia Fusion,Houston Outlaws,Overwatch League - Stage 4,Houston Outlaws,2018-06-14
239,10625,London Spitfire,Florida Mayhem,Overwatch League - Stage 4,London Spitfire,2018-06-15
240,10626,Boston Uprising,New York Excelsior,Overwatch League - Stage 4,Boston Uprising,2018-06-15
241,10627,New York Excelsior,Houston Outlaws,Overwatch League - Stage 4,New York Excelsior,2018-06-15
242,10628,Seoul Dynasty,Los Angeles Gladiators,Overwatch League - Stage 4,Los Angeles Gladiators,2018-06-16
243,10629,Los Angeles Valiant,Dallas Fuel,Overwatch League - Stage 4,Dallas Fuel,2018-06-16
244,10630,London Spitfire,Philadelphia Fusion,Overwatch League - Stage 4,Philadelphia Fusion,2018-06-16
245,10631,San Francisco Shock,Shanghai Dragons,Overwatch League - Stage 4,San Francisco Shock,2018-06-16
246,10632,Florida Mayhem,Boston Uprising,Overwatch League - Stage 4,Boston Uprising,2018-06-17
247,10546,Los Angeles Gladiators,Los Angeles Valiant,Overwatch League - Stage 4 Title Matches,Los Angeles Valiant,2018-06-17
248,10547,New York Excelsior,Dallas Fuel,Overwatch League - Stage 4 Title Matches,New York Excelsior,2018-06-17
249,10548,Los Angeles Valiant,New York Excelsior,Overwatch League - Stage 4 Title Matches,Los Angeles Valiant,2018-06-18
250,13121,Boston Uprising,Philadelphia Fusion,Overwatch League Inaugural Season Championship,Philadelphia Fusion,2018-07-12
251,13124,Los Angeles Gladiators,London Spitfire,Overwatch League Inaugural Season Championship,Los Angeles Gladiators,2018-07-12
252,13122,Boston Uprising,Philadelphia Fusion,Overwatch League Inaugural Season Championship,Boston Uprising,2018-07-14
253,13123,Boston Uprising,Philadelphia Fusion,Overwatch League Inaugural Season Championship,Philadelphia Fusion,2018-07-14
254,13125,Los Angeles Gladiators,London Spitfire,Overwatch League Inaugural Season Championship,London Spitfire,2018-07-14
255,13126,Los Angeles Gladiators,London Spitfire,Overwatch League Inaugural Season Championship,London Spitfire,2018-07-14
256,13130,New York Excelsior,Philadelphia Fusion,Overwatch League Inaugural Season Championship,Philadelphia Fusion,2018-07-19
257,13127,Los Angeles Valiant,London Spitfire,Overwatch League Inaugural Season Championship,London Spitfire,2018-07-19
258,13128,Los Angeles Valiant,London Spitfire,Overwatch League Inaugural Season Championship,London Spitfire,2018-07-20
259,13131,New York Excelsior,Philadelphia Fusion,Overwatch League Inaugural Season Championship,Philadelphia Fusion,2018-07-21
