0,26 Apr 2018,Dallas Fuel,Florida Mayhem,+252,-323
0,26 Apr 2018,Los Angeles Valiant,Houston Outlaws,-154,+116
0,25 Apr 2018,Shanghai Dragons,Boston Uprising,+761,-1250
0,22 Apr 2018,Houston Outlaws,Dallas Fuel,-526,+322
0,21 Apr 2018,New York Excelsior,Los Angeles Gladiators,-357,+248
0,21 Apr 2018,London Spitfire,Los Angeles Valiant,+106,-139
0,21 Apr 2018,Boston Uprising,Seoul Dynasty,-208,+149
0,21 Apr 2018,Florida Mayhem,Shanghai Dragons,-370,+252
0,20 Apr 2018,Philadelphia Fusion,San Francisco Shock,-556,+338
0,20 Apr 2018,Philadelphia Fusion,New York Excelsior,+181,-244
0,20 Apr 2018,Boston Uprising,London Spitfire,+102,-135
0,19 Apr 2018,Houston Outlaws,Florida Mayhem,-357,+258
0,19 Apr 2018,Shanghai Dragons,Seoul Dynasty,+822,-1667
0,19 Apr 2018,Dallas Fuel,San Francisco Shock,-105,-127
0,18 Apr 2018,Los Angeles Gladiators,Los Angeles Valiant,+158,-213
0,14 Apr 2018,Seoul Dynasty,Los Angeles Gladiators,-189,+138
0,14 Apr 2018,San Francisco Shock,Shanghai Dragons,-909,+463
0,13 Apr 2018,Los Angeles Valiant,Dallas Fuel,-435,+288
0,13 Apr 2018,Philadelphia Fusion,Houston Outlaws,-244,+177
0,12 Apr 2018,Boston Uprising,New York Excelsior,+225,-303
0,12 Apr 2018,Dallas Fuel,Seoul Dynasty,+319,-476
0,12 Apr 2018,San Francisco Shock,Los Angeles Valiant,+198,-263
0,11 Apr 2018,Shanghai Dragons,Los Angeles Gladiators,+692,-1111
0,07 Apr 2018,Houston Outlaws,Boston Uprising,-149,+104
0,07 Apr 2018,Florida Mayhem,Philadelphia Fusion,+227,-385
0,07 Apr 2018,Seoul Dynasty,San Francisco Shock,-238,+169
0,07 Apr 2018,Los Angeles Valiant,Shanghai Dragons,-1250,+607
0,06 Apr 2018,Los Angeles Gladiators,Dallas Fuel,-238,+170
0,06 Apr 2018,London Spitfire,Houston Outlaws,-323,+235
0,06 Apr 2018,Philadelphia Fusion,Boston Uprising,-141,+114
0,05 Apr 2018,Florida Mayhem,New York Excelsior,+686,-1429
0,05 Apr 2018,San Francisco Shock,Los Angeles Gladiators,+191,-263
0,05 Apr 2018,Los Angeles Valiant,Seoul Dynasty,+307,-476
0,04 Apr 2018,Shanghai Dragons,Dallas Fuel,+299,-435
0,24 Mar 2018,Boston Uprising,Los Angeles Gladiators,+152,-200
0,24 Mar 2018,Los Angeles Valiant,New York Excelsior,+387,-526
0,24 Mar 2018,Dallas Fuel,London Spitfire,+587,-909
0,24 Mar 2018,London Spitfire,Shanghai Dragons,-,+1750
0,24 Mar 2018,Philadelphia Fusion,Los Angeles Valiant,-294,+186
0,23 Mar 2018,Seoul Dynasty,Florida Mayhem,-769,+393
0,23 Mar 2018,San Francisco Shock,Boston Uprising,+175,-250
0,23 Mar 2018,New York Excelsior,Dallas Fuel,-2500,+1172
0,22 Mar 2018,Houston Outlaws,Seoul Dynasty,+392,-556
0,22 Mar 2018,Shanghai Dragons,Houston Outlaws,+900,-10000
0,22 Mar 2018,Florida Mayhem,San Francisco Shock,-111,-125
0,22 Mar 2018,Los Angeles Gladiators,Philadelphia Fusion,-118,-118
0,18 Mar 2018,Dallas Fuel,Philadelphia Fusion,+559,-714
0,18 Mar 2018,San Francisco Shock,Houston Outlaws,+221,-294
0,18 Mar 2018,Seoul Dynasty,London Spitfire,-143,+108
