,Unnamed: 0,id,team_one,team_two,stage,winner,date,corona_virus_isolation,t1_wins_season,t1_losses_season,t2_wins_season,t2_losses_season,t1_matches_season,t2_matches_season,t1_win_percent_season,t2_win_percent_season,t1_wins_alltime,t1_losses_alltime,t2_wins_alltime,t2_losses_alltime,t1_matches_alltime,t2_matches_alltime,t1_win_percent_alltime,t2_win_percent_alltime,t1_wins_last_3,t1_losses_last_3,t2_wins_last_3,t2_losses_last_3,t1_win_percent_last_3,t2_win_percent_last_3,t1_wins_last_5,t1_losses_last_5,t2_wins_last_5,t2_losses_last_5,t1_win_percent_last_5,t2_win_percent_last_5,t1_wins_last_10,t1_losses_last_10,t2_wins_last_10,t2_losses_last_10,t1_win_percent_last_10,t2_win_percent_last_10,t1_wins_last_20,t1_losses_last_20,t2_wins_last_20,t2_losses_last_20,t1_win_percent_last_20,t2_win_percent_last_20,t1_place_last_season,t2_place_last_season,t1_wins_vs_t2,t1_losses_vs_t2,t1_matches_vs_t2,t1_win_percent_vs_t2,winner_label,t1_odds,t2_odds
651,651,90000,Seoul Dynasty,Hangzhou Spark,OWL 2020 Regular Season,Hangzhou Spark,4/25/2020,TRUE,2,0,3,4,2,7,1,0.428571429,41,35,24,18,76,42,0.539473684,0.571428571,2,1,1,2,0.666666667,0.333333333,3,2,2,3,0.6,0.4,6,4,5,5,0.6,0.5,11,9,10,10,0.55,0.5,8,4,0,3,3,0,1,-450,360
652,652,90001,Guangzhou Charge,Shanghai Dragons,OWL 2020 Regular Season,Shanghai Dragons,4/25/2020,TRUE,4,4,6,1,8,7,0.5,0.857142857,20,18,23,58,38,81,0.526315789,0.283950617,1,2,3,0,0.333333333,1,2,3,5,0,0.4,1,5,5,7,3,0.5,0.7,13,7,12,8,0.65,0.6,9,11,1,3,4,0.25,1,400,-500
653,653,90002,New York Excelsior,Chengdu Hunters,OWL 2020 Regular Season,Chengdu Hunters,4/25/2020,TRUE,5,1,3,5,6,8,0.833333333,0.375,68,22,16,21,90,37,0.755555556,0.432432432,3,0,2,1,1,0.666666667,4,1,2,3,0.8,0.4,7,3,4,6,0.7,0.4,12,8,9,11,0.6,0.45,2,12,0,1,1,0,1,-330,270
654,654,90003,Atlanta Reign,Philadelphia Fusion,OWL 2020 Regular Season,Philadelphia Fusion,4/25/2020,TRUE,4,2,8,1,6,9,0.666666667,0.888888889,21,17,53,36,38,89,0.552631579,0.595505618,2,1,3,0,0.666666667,1,3,2,4,1,0.6,0.8,6,4,8,2,0.6,0.8,14,6,13,7,0.7,0.65,6,10,0,4,4,0,1,190,-230
655,655,90004,San Francisco Shock,Los Angeles Valiant,OWL 2020 Regular Season,Los Angeles Valiant,4/25/2020,TRUE,4,2,2,5,6,7,0.666666667,0.285714286,56,33,44,38,89,82,0.629213483,0.536585366,3,0,0,3,1,0,3,2,1,4,0.6,0.2,8,2,3,7,0.8,0.3,17,3,10,10,0.85,0.5,3,13,4,5,9,0.444444444,1,-680,490
656,656,90005,Hangzhou Spark,Chengdu Hunters,OWL 2020 Regular Season,Chengdu Hunters,4/25/2020,TRUE,3,4,3,5,7,8,0.428571429,0.375,24,18,16,21,42,37,0.571428571,0.432432432,1,2,2,1,0.333333333,0.666666667,2,3,2,3,0.4,0.4,5,5,4,6,0.5,0.4,10,10,9,11,0.5,0.45,4,12,4,0,4,1,1,-190,165
657,657,90006,Shanghai Dragons,Seoul Dynasty,OWL 2020 Regular Season,Seoul Dynasty,4/25/2020,TRUE,6,1,2,0,7,2,0.857142857,1,23,58,41,35,81,76,0.283950617,0.539473684,3,0,2,1,1,0.666666667,5,0,3,2,1,0.6,7,3,6,4,0.7,0.6,12,8,11,9,0.6,0.55,11,8,1,5,6,0.166666667,1,-130,110
658,658,90007,Guangzhou Charge,New York Excelsior,OWL 2020 Regular Season,New York Excelsior,4/25/2020,TRUE,4,4,5,1,8,6,0.5,0.833333333,20,18,68,22,38,90,0.526315789,0.755555556,1,2,3,0,0.333333333,1,2,3,4,1,0.4,0.8,5,5,7,3,0.5,0.7,13,7,12,8,0.65,0.6,9,2,1,0,1,1,1,300,-360
659,659,90008,Florida Mayhem,Boston Uprising,OWL 2020 Regular Season,Boston Uprising,4/25/2020,TRUE,3,4,1,7,7,8,0.428571429,0.125,16,59,37,45,75,82,0.213333333,0.451219512,2,1,0,3,0.666666667,0,2,3,0,5,0.4,0,5,5,1,9,0.5,0.1,8,12,2,18,0.4,0.1,20,19,1,5,6,0.166666667,1,-210,175
660,660,90009,Houston Outlaws,Dallas Fuel,OWL 2020 Regular Season,Dallas Fuel,4/25/2020,TRUE,4,6,2,4,10,6,0.4,0.333333333,35,45,24,52,80,76,0.4375,0.315789474,2,1,2,1,0.666666667,0.666666667,4,1,2,3,0.8,0.4,4,6,2,8,0.4,0.2,7,13,3,17,0.35,0.15,16,15,3,1,4,0.75,1,120,-140
