,Unnamed: 0,id,team_one,team_two,stage,winner,date,corona_virus_isolation,t1_wins_season,t1_losses_season,t2_wins_season,t2_losses_season,t1_matches_season,t2_matches_season,t1_win_percent_season,t2_win_percent_season,t1_wins_alltime,t1_losses_alltime,t2_wins_alltime,t2_losses_alltime,t1_matches_alltime,t2_matches_alltime,t1_win_percent_alltime,t2_win_percent_alltime,t1_wins_last_3,t1_losses_last_3,t2_wins_last_3,t2_losses_last_3,t1_win_percent_last_3,t2_win_percent_last_3,t1_wins_last_5,t1_losses_last_5,t2_wins_last_5,t2_losses_last_5,t1_win_percent_last_5,t2_win_percent_last_5,t1_wins_last_10,t1_losses_last_10,t2_wins_last_10,t2_losses_last_10,t1_win_percent_last_10,t2_win_percent_last_10,t1_wins_last_20,t1_losses_last_20,t2_wins_last_20,t2_losses_last_20,t1_win_percent_last_20,t2_win_percent_last_20,t1_place_last_season,t2_place_last_season,t1_wins_vs_t2,t1_losses_vs_t2,t1_matches_vs_t2,t1_win_percent_vs_t2,winner_label
10,10,10233,Houston Outlaws,New York Excelsior,Overwatch League - Stage 1,New York Excelsior,2018-01-13,False,0,1,1,0,1,1,0.0,1.0,0,1,1,0,1,1,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,1
11,11,10234,Los Angeles Gladiators,Seoul Dynasty,Overwatch League - Stage 1,Seoul Dynasty,2018-01-13,False,1,0,1,0,1,1,1.0,1.0,1,0,1,0,1,1,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,1
12,12,10235,Philadelphia Fusion,San Francisco Shock,Overwatch League - Stage 1,Philadelphia Fusion,2018-01-18,False,1,1,1,1,2,2,0.5,0.5,1,1,1,1,2,2,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0
13,13,10236,Seoul Dynasty,Florida Mayhem,Overwatch League - Stage 1,Seoul Dynasty,2018-01-18,False,2,0,0,2,2,2,1.0,0.0,2,0,0,2,2,2,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0
14,14,10237,Shanghai Dragons,Houston Outlaws,Overwatch League - Stage 1,Houston Outlaws,2018-01-18,False,0,2,0,2,2,2,0.0,0.0,0,2,0,2,2,2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,1
15,15,10238,Houston Outlaws,Dallas Fuel,Overwatch League - Stage 1,Houston Outlaws,2018-01-18,False,0,2,0,2,2,2,0.0,0.0,0,2,0,2,2,2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0
16,16,10239,Los Angeles Valiant,New York Excelsior,Overwatch League - Stage 1,New York Excelsior,2018-01-19,False,2,0,2,0,2,2,1.0,1.0,2,0,2,0,2,2,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,1
17,17,10240,Los Angeles Gladiators,Philadelphia Fusion,Overwatch League - Stage 1,Los Angeles Gladiators,2018-01-19,False,1,1,2,1,2,3,0.5,0.6666666666666666,1,1,2,1,2,3,0.5,0.6666666666666666,,,2,1,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,0,0,0,,0
18,18,10241,Boston Uprising,Seoul Dynasty,Overwatch League - Stage 1,Seoul Dynasty,2018-01-20,False,1,1,3,0,2,3,0.5,1.0,1,1,3,0,2,3,0.5,1.0,,,3,0,,1.0,,,,,,,,,,,,,,,,,,,,,0,0,0,,1
19,19,10242,Florida Mayhem,Shanghai Dragons,Overwatch League - Stage 1,Florida Mayhem,2018-01-20,False,0,3,0,3,3,3,0.0,0.0,0,3,0,3,3,3,0.0,0.0,0,3,0,3,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0,0,,0
20,20,10243,Dallas Fuel,London Spitfire,Overwatch League - Stage 1,London Spitfire,2018-01-20,False,0,3,2,0,3,2,0.0,1.0,0,3,2,0,3,2,0.0,1.0,0,3,,,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,1
21,21,10244,London Spitfire,Los Angeles Valiant,Overwatch League - Stage 1,London Spitfire,2018-01-20,False,2,0,2,1,2,3,1.0,0.6666666666666666,2,0,2,1,2,3,1.0,0.6666666666666666,,,2,1,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,0,0,0,,0
22,22,10245,New York Excelsior,Los Angeles Gladiators,Overwatch League - Stage 1,New York Excelsior,2018-01-20,False,3,0,2,1,3,3,1.0,0.6666666666666666,3,0,2,1,3,3,1.0,0.6666666666666666,3,0,2,1,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,0,0,0,,0
23,23,10246,San Francisco Shock,Boston Uprising,Overwatch League - Stage 1,San Francisco Shock,2018-01-20,False,1,2,1,1,3,2,0.3333333333333333,0.5,1,2,1,1,3,2,0.3333333333333333,0.5,1,2,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0
24,24,10247,London Spitfire,San Francisco Shock,Overwatch League - Stage 1,London Spitfire,2018-01-25,False,4,0,2,2,4,4,1.0,0.5,4,0,2,2,4,4,1.0,0.5,3,0,2,1,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,0,0,0,,0
25,25,10248,Seoul Dynasty,Shanghai Dragons,Overwatch League - Stage 1,Seoul Dynasty,2018-01-25,False,4,0,0,4,4,4,1.0,0.0,4,0,0,4,4,4,1.0,0.0,3,0,0,3,1.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0,0,,0
26,26,10249,Los Angeles Valiant,Los Angeles Gladiators,Overwatch League - Stage 1,Los Angeles Valiant,2018-01-25,False,2,2,2,2,4,4,0.5,0.5,2,2,2,2,4,4,0.5,0.5,1,2,1,2,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,0,0,0,,0
27,27,10250,London Spitfire,Boston Uprising,Overwatch League - Stage 1,Boston Uprising,2018-01-25,False,4,0,1,3,4,4,1.0,0.25,4,0,1,3,4,4,1.0,0.25,3,0,1,2,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,0,0,0,,1
28,28,10251,New York Excelsior,Philadelphia Fusion,Overwatch League - Stage 1,Philadelphia Fusion,2018-01-26,False,4,0,2,2,4,4,1.0,0.5,4,0,2,2,4,4,1.0,0.5,3,0,1,2,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,0,0,0,,1
29,29,10252,Florida Mayhem,Houston Outlaws,Overwatch League - Stage 1,Houston Outlaws,2018-01-26,False,1,3,2,2,4,4,0.25,0.5,1,3,2,2,4,4,0.25,0.5,1,2,2,1,0.3333333333333333,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,0,0,0,,1
30,30,10253,New York Excelsior,Seoul Dynasty,Overwatch League - Stage 1,New York Excelsior,2018-01-27,False,4,1,5,0,5,5,0.8,1.0,4,1,5,0,5,5,0.8,1.0,2,1,3,0,0.6666666666666666,1.0,4,1,5,0,0.8,1.0,,,,,,,,,,,,,,,0,0,0,,0
