,id,team_one,team_two,stage,winner,date
62,10278,Los Angeles Valiant,Seoul Dynasty,Overwatch League - Stage 2,Seoul Dynasty,2/22/2018
63,10279,Shanghai Dragons,Dallas Fuel,Overwatch League - Stage 2,Dallas Fuel,2/22/2018
64,10280,San Francisco Shock,Los Angeles Gladiators,Overwatch League - Stage 2,Los Angeles Gladiators,2/22/2018
65,10281,London Spitfire,Houston Outlaws,Overwatch League - Stage 2,Houston Outlaws,2/23/2018
66,10282,Florida Mayhem,New York Excelsior,Overwatch League - Stage 2,New York Excelsior,2/23/2018
67,10283,Philadelphia Fusion,Boston Uprising,Overwatch League - Stage 2,Philadelphia Fusion,2/23/2018
68,10284,New York Excelsior,London Spitfire,Overwatch League - Stage 2,London Spitfire,2/24/2018
69,10285,Los Angeles Gladiators,Dallas Fuel,Overwatch League - Stage 2,Dallas Fuel,2/24/2018
70,10286,Seoul Dynasty,San Francisco Shock,Overwatch League - Stage 2,Seoul Dynasty,2/24/2018
71,10287,Florida Mayhem,Philadelphia Fusion,Overwatch League - Stage 2,Philadelphia Fusion,2/24/2018
72,10288,Houston Outlaws,Boston Uprising,Overwatch League - Stage 2,Houston Outlaws,2/24/2018
73,10289,Los Angeles Valiant,Shanghai Dragons,Overwatch League - Stage 2,Los Angeles Valiant,2/25/2018
74,10290,Dallas Fuel,Seoul Dynasty,Overwatch League - Stage 2,Seoul Dynasty,3/1/2018
75,10291,San Francisco Shock,Los Angeles Valiant,Overwatch League - Stage 2,Los Angeles Valiant,3/1/2018
76,10292,Shanghai Dragons,Los Angeles Gladiators,Overwatch League - Stage 2,Los Angeles Gladiators,3/1/2018
77,10293,London Spitfire,Florida Mayhem,Overwatch League - Stage 2,London Spitfire,3/2/2018
78,10294,Philadelphia Fusion,Houston Outlaws,Overwatch League - Stage 2,Philadelphia Fusion,3/2/2018
79,10295,Boston Uprising,New York Excelsior,Overwatch League - Stage 2,New York Excelsior,3/2/2018
80,10296,Florida Mayhem,Boston Uprising,Overwatch League - Stage 2,Boston Uprising,3/3/2018
81,10297,Seoul Dynasty,Los Angeles Gladiators,Overwatch League - Stage 2,Seoul Dynasty,3/3/2018
82,10298,Los Angeles Valiant,Dallas Fuel,Overwatch League - Stage 2,Los Angeles Valiant,3/3/2018
83,10299,London Spitfire,Philadelphia Fusion,Overwatch League - Stage 2,London Spitfire,3/3/2018
84,10300,New York Excelsior,Houston Outlaws,Overwatch League - Stage 2,New York Excelsior,3/3/2018
85,10301,San Francisco Shock,Shanghai Dragons,Overwatch League - Stage 2,San Francisco Shock,3/4/2018
86,10302,Shanghai Dragons,Seoul Dynasty,Overwatch League - Stage 2,Seoul Dynasty,3/8/2018
