,Unnamed: 0,id,team_one,team_two,stage,winner,date,corona_virus_isolation,t1_wins_season,t1_losses_season,t2_wins_season,t2_losses_season,t1_matches_season,t2_matches_season,t1_win_percent_season,t2_win_percent_season,t1_wins_alltime,t1_losses_alltime,t2_wins_alltime,t2_losses_alltime,t1_matches_alltime,t2_matches_alltime,t1_win_percent_alltime,t2_win_percent_alltime,t1_wins_last_3,t1_losses_last_3,t2_wins_last_3,t2_losses_last_3,t1_win_percent_last_3,t2_win_percent_last_3,t1_wins_last_5,t1_losses_last_5,t2_wins_last_5,t2_losses_last_5,t1_win_percent_last_5,t2_win_percent_last_5,t1_wins_last_10,t1_losses_last_10,t2_wins_last_10,t2_losses_last_10,t1_win_percent_last_10,t2_win_percent_last_10,t1_wins_last_20,t1_losses_last_20,t2_wins_last_20,t2_losses_last_20,t1_win_percent_last_20,t2_win_percent_last_20,t1_place_last_season,t2_place_last_season,t1_wins_vs_t2,t1_losses_vs_t2,t1_matches_vs_t2,t1_win_percent_vs_t2,winner_label,t1_odds,t2_odds
185,185,10544,New York Excelsior,Los Angeles Valiant,Overwatch League - Stage 3 Title Matches,New York Excelsior,2018-05-06,False,28.0,4.0,17.0,12.0,32.0,29.0,0.875,0.5862068965517241,28.0,4.0,17.0,12.0,32.0,29.0,0.875,0.5862068965517241,3.0,0.0,1.0,2.0,1.0,0.3333333333333333,5.0,0.0,2.0,3.0,1.0,0.4,9.0,1.0,6.0,4.0,0.9,0.6,18.0,2.0,11.0,9.0,0.9,0.55,,,2,0,2,1.0,0,,
186,186,10545,Boston Uprising,New York Excelsior,Overwatch League - Stage 3 Title Matches,New York Excelsior,2018-05-06,False,22.0,8.0,28.0,4.0,30.0,32.0,0.7333333333333333,0.875,22.0,8.0,28.0,4.0,30.0,32.0,0.7333333333333333,0.875,3.0,0.0,3.0,0.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,1.0,10.0,0.0,9.0,1.0,1.0,0.9,16.0,4.0,18.0,2.0,0.8,0.9,,,1,2,3,0.3333333333333333,1,,
187,187,10443,San Francisco Shock,Los Angeles Gladiators,Overwatch League - Stage 4,Los Angeles Gladiators,2018-05-16,False,12.0,18.0,16.0,15.0,30.0,31.0,0.4,0.5161290322580645,12.0,18.0,16.0,15.0,30.0,31.0,0.4,0.5161290322580645,2.0,1.0,1.0,2.0,0.6666666666666666,0.3333333333333333,3.0,2.0,3.0,2.0,0.6,0.6,6.0,4.0,6.0,4.0,0.6,0.6,9.0,11.0,11.0,9.0,0.45,0.55,,,1,2,3,0.3333333333333333,1,125,-167
188,188,10444,Los Angeles Valiant,Seoul Dynasty,Overwatch League - Stage 4,Los Angeles Valiant,2018-05-17,False,18.0,13.0,19.0,11.0,31.0,30.0,0.5806451612903226,0.6333333333333333,18.0,13.0,19.0,11.0,31.0,30.0,0.5806451612903226,0.6333333333333333,1.0,2.0,1.0,2.0,0.3333333333333333,0.3333333333333333,2.0,3.0,2.0,3.0,0.4,0.4,6.0,4.0,5.0,5.0,0.6,0.5,11.0,9.0,12.0,8.0,0.55,0.6,,,2,1,3,0.6666666666666666,0,-108,-123
189,189,10445,Shanghai Dragons,Dallas Fuel,Overwatch League - Stage 4,Dallas Fuel,2018-05-17,False,0.0,30.0,6.0,24.0,30.0,30.0,0.0,0.2,0.0,30.0,6.0,24.0,30.0,30.0,0.0,0.2,0.0,3.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,10.0,1.0,9.0,0.0,0.1,0.0,20.0,3.0,17.0,0.0,0.15,,,0,3,3,0.0,1,-141,102
190,190,10446,Philadelphia Fusion,Boston Uprising,Overwatch League - Stage 4,Philadelphia Fusion,2018-05-17,False,19.0,13.0,23.0,9.0,32.0,32.0,0.59375,0.71875,19.0,13.0,23.0,9.0,32.0,32.0,0.59375,0.71875,2.0,1.0,2.0,1.0,0.6666666666666666,0.6666666666666666,2.0,3.0,4.0,1.0,0.4,0.8,5.0,5.0,9.0,1.0,0.5,0.9,11.0,9.0,17.0,3.0,0.55,0.85,,,1,2,3,0.3333333333333333,0,159,-208
191,191,10447,Florida Mayhem,New York Excelsior,Overwatch League - Stage 4,New York Excelsior,2018-05-18,False,6.0,24.0,30.0,4.0,30.0,34.0,0.2,0.8823529411764706,6.0,24.0,30.0,4.0,30.0,34.0,0.2,0.8823529411764706,0.0,3.0,3.0,0.0,0.0,1.0,2.0,3.0,5.0,0.0,0.4,1.0,2.0,8.0,9.0,1.0,0.2,0.9,5.0,15.0,19.0,1.0,0.25,0.95,,,0,3,3,0.0,1,725,-1429
192,192,10448,London Spitfire,Houston Outlaws,Overwatch League - Stage 4,Houston Outlaws,2018-05-18,False,22.0,11.0,16.0,15.0,33.0,31.0,0.6666666666666666,0.5161290322580645,22.0,11.0,16.0,15.0,33.0,31.0,0.6666666666666666,0.5161290322580645,3.0,0.0,0.0,3.0,1.0,0.0,4.0,1.0,2.0,3.0,0.8,0.4,5.0,5.0,4.0,6.0,0.5,0.4,13.0,7.0,9.0,11.0,0.65,0.45,,,1,3,4,0.25,1,-192,139
193,193,10449,Los Angeles Gladiators,Dallas Fuel,Overwatch League - Stage 4,Los Angeles Gladiators,2018-05-18,False,17.0,15.0,7.0,24.0,32.0,31.0,0.53125,0.2258064516129032,17.0,15.0,7.0,24.0,32.0,31.0,0.53125,0.2258064516129032,1.0,2.0,1.0,2.0,0.3333333333333333,0.3333333333333333,3.0,2.0,1.0,4.0,0.6,0.2,6.0,4.0,1.0,9.0,0.6,0.1,12.0,8.0,3.0,17.0,0.6,0.15,,,1,2,3,0.3333333333333333,0,-500,324
194,194,10450,Houston Outlaws,Boston Uprising,Overwatch League - Stage 4,Houston Outlaws,2018-05-19,False,17.0,15.0,23.0,10.0,32.0,33.0,0.53125,0.696969696969697,17.0,15.0,23.0,10.0,32.0,33.0,0.53125,0.696969696969697,1.0,2.0,1.0,2.0,0.3333333333333333,0.3333333333333333,2.0,3.0,3.0,2.0,0.4,0.6,4.0,6.0,8.0,2.0,0.4,0.8,9.0,11.0,17.0,3.0,0.45,0.85,,,2,1,3,0.6666666666666666,0,-185,143
195,195,10451,Seoul Dynasty,San Francisco Shock,Overwatch League - Stage 4,San Francisco Shock,2018-05-19,False,19.0,12.0,12.0,19.0,31.0,31.0,0.6129032258064516,0.3870967741935484,19.0,12.0,12.0,19.0,31.0,31.0,0.6129032258064516,0.3870967741935484,1.0,2.0,2.0,1.0,0.3333333333333333,0.6666666666666666,2.0,3.0,2.0,3.0,0.4,0.4,5.0,5.0,5.0,5.0,0.5,0.5,11.0,9.0,9.0,11.0,0.55,0.45,,,3,0,3,1.0,1,-222,167
196,196,10452,Florida Mayhem,Philadelphia Fusion,Overwatch League - Stage 4,Philadelphia Fusion,2018-05-19,False,6.0,25.0,20.0,13.0,31.0,33.0,0.1935483870967742,0.6060606060606061,6.0,25.0,20.0,13.0,31.0,33.0,0.1935483870967742,0.6060606060606061,0.0,3.0,2.0,1.0,0.0,0.6666666666666666,1.0,4.0,3.0,2.0,0.2,0.6,2.0,8.0,6.0,4.0,0.2,0.6,5.0,15.0,11.0,9.0,0.25,0.55,,,0,3,3,0.0,1,,
197,197,10453,Los Angeles Valiant,Shanghai Dragons,Overwatch League - Stage 4,Los Angeles Valiant,2018-05-19,False,19.0,13.0,0.0,31.0,32.0,31.0,0.59375,0.0,19.0,13.0,0.0,31.0,32.0,31.0,0.59375,0.0,2.0,1.0,0.0,3.0,0.6666666666666666,0.0,3.0,2.0,0.0,5.0,0.6,0.0,6.0,4.0,0.0,10.0,0.6,0.0,11.0,9.0,0.0,20.0,0.55,0.0,,,3,0,3,1.0,0,,
198,198,10454,New York Excelsior,London Spitfire,Overwatch League - Stage 4,New York Excelsior,2018-05-20,False,31.0,4.0,22.0,12.0,35.0,34.0,0.8857142857142857,0.6470588235294118,31.0,4.0,22.0,12.0,35.0,34.0,0.8857142857142857,0.6470588235294118,3.0,0.0,2.0,1.0,1.0,0.6666666666666666,5.0,0.0,3.0,2.0,1.0,0.6,10.0,0.0,5.0,5.0,1.0,0.5,19.0,1.0,12.0,8.0,0.95,0.6,,,2,2,4,0.5,0,,
199,199,10455,Dallas Fuel,Boston Uprising,Overwatch League - Stage 4,Dallas Fuel,2018-05-23,False,7.0,25.0,23.0,11.0,32.0,34.0,0.21875,0.6764705882352942,7.0,25.0,23.0,11.0,32.0,34.0,0.21875,0.6764705882352942,1.0,2.0,1.0,2.0,0.3333333333333333,0.3333333333333333,1.0,4.0,2.0,3.0,0.2,0.4,1.0,9.0,7.0,3.0,0.1,0.7,2.0,18.0,16.0,4.0,0.1,0.8,,,0,3,3,0.0,0,470,-667
200,200,10456,Los Angeles Valiant,Florida Mayhem,Overwatch League - Stage 4,Los Angeles Valiant,2018-05-24,False,20.0,13.0,6.0,26.0,33.0,32.0,0.6060606060606061,0.1875,20.0,13.0,6.0,26.0,33.0,32.0,0.6060606060606061,0.1875,3.0,0.0,0.0,3.0,1.0,0.0,3.0,2.0,0.0,5.0,0.6,0.0,6.0,4.0,2.0,8.0,0.6,0.2,11.0,9.0,5.0,15.0,0.55,0.25,,,2,1,3,0.6666666666666666,0,-455,403
201,201,10457,Los Angeles Gladiators,Houston Outlaws,Overwatch League - Stage 4,Los Angeles Gladiators,2018-05-24,False,18.0,15.0,18.0,15.0,33.0,33.0,0.5454545454545454,0.5454545454545454,18.0,15.0,18.0,15.0,33.0,33.0,0.5454545454545454,0.5454545454545454,2.0,1.0,2.0,1.0,0.6666666666666666,0.6666666666666666,3.0,2.0,2.0,3.0,0.6,0.4,6.0,4.0,5.0,5.0,0.6,0.5,12.0,8.0,9.0,11.0,0.6,0.45,,,2,1,3,0.6666666666666666,0,114,-149
202,202,10458,San Francisco Shock,London Spitfire,Overwatch League - Stage 4,London Spitfire,2018-05-24,False,13.0,19.0,22.0,13.0,32.0,35.0,0.40625,0.6285714285714286,13.0,19.0,22.0,13.0,32.0,35.0,0.40625,0.6285714285714286,2.0,1.0,1.0,2.0,0.6666666666666666,0.3333333333333333,3.0,2.0,3.0,2.0,0.6,0.6,6.0,4.0,5.0,5.0,0.6,0.5,10.0,10.0,11.0,9.0,0.5,0.55,,,0,3,3,0.0,1,,
203,203,10459,Florida Mayhem,Los Angeles Gladiators,Overwatch League - Stage 4,Los Angeles Gladiators,2018-05-25,False,6.0,27.0,19.0,15.0,33.0,34.0,0.18181818181818185,0.5588235294117647,6.0,27.0,19.0,15.0,33.0,34.0,0.18181818181818185,0.5588235294117647,0.0,3.0,3.0,0.0,0.0,1.0,0.0,5.0,3.0,2.0,0.0,0.6,2.0,8.0,6.0,4.0,0.2,0.6,5.0,15.0,13.0,7.0,0.25,0.65,,,0,3,3,0.0,1,,
204,204,10460,Shanghai Dragons,Philadelphia Fusion,Overwatch League - Stage 4,Philadelphia Fusion,2018-05-25,False,0.0,32.0,21.0,13.0,32.0,34.0,0.0,0.6176470588235294,0.0,32.0,21.0,13.0,32.0,34.0,0.0,0.6176470588235294,0.0,3.0,2.0,1.0,0.0,0.6666666666666666,0.0,5.0,4.0,1.0,0.0,0.8,0.0,10.0,6.0,4.0,0.0,0.6,0.0,20.0,12.0,8.0,0.0,0.6,,,0,3,3,0.0,1,,
205,205,10461,Boston Uprising,Los Angeles Valiant,Overwatch League - Stage 4,Los Angeles Valiant,2018-05-25,False,23.0,12.0,21.0,13.0,35.0,34.0,0.6571428571428571,0.6176470588235294,23.0,12.0,21.0,13.0,35.0,34.0,0.6571428571428571,0.6176470588235294,0.0,3.0,3.0,0.0,0.0,1.0,1.0,4.0,4.0,1.0,0.2,0.8,6.0,4.0,6.0,4.0,0.6,0.6,15.0,5.0,11.0,9.0,0.75,0.55,,,3,0,3,1.0,1,308,-455
206,206,10462,Seoul Dynasty,New York Excelsior,Overwatch League - Stage 4,New York Excelsior,2018-05-26,False,19.0,13.0,32.0,4.0,32.0,36.0,0.59375,0.8888888888888888,19.0,13.0,32.0,4.0,32.0,36.0,0.59375,0.8888888888888888,0.0,3.0,3.0,0.0,0.0,1.0,1.0,4.0,5.0,0.0,0.2,1.0,4.0,6.0,10.0,0.0,0.4,1.0,10.0,10.0,19.0,1.0,0.5,0.95,,,0,3,3,0.0,1,543,-1111
207,207,10463,Houston Outlaws,San Francisco Shock,Overwatch League - Stage 4,San Francisco Shock,2018-05-26,False,18.0,16.0,13.0,20.0,34.0,33.0,0.5294117647058824,0.3939393939393939,18.0,16.0,13.0,20.0,34.0,33.0,0.5294117647058824,0.3939393939393939,2.0,1.0,1.0,2.0,0.6666666666666666,0.3333333333333333,2.0,3.0,3.0,2.0,0.4,0.6,5.0,5.0,6.0,4.0,0.5,0.6,9.0,11.0,10.0,10.0,0.45,0.5,,,1,2,3,0.3333333333333333,1,-182,168
208,208,10464,London Spitfire,Seoul Dynasty,Overwatch League - Stage 4,London Spitfire,2018-05-26,False,23.0,13.0,19.0,13.0,36.0,32.0,0.6388888888888888,0.59375,23.0,13.0,19.0,13.0,36.0,32.0,0.6388888888888888,0.59375,1.0,2.0,0.0,3.0,0.3333333333333333,0.0,3.0,2.0,1.0,4.0,0.6,0.2,5.0,5.0,4.0,6.0,0.5,0.4,11.0,9.0,10.0,10.0,0.55,0.5,,,3,0,3,1.0,0,-400,281
209,209,10465,New York Excelsior,Shanghai Dragons,Overwatch League - Stage 4,New York Excelsior,2018-05-26,False,32.0,4.0,0.0,33.0,36.0,33.0,0.8888888888888888,0.0,32.0,4.0,0.0,33.0,36.0,33.0,0.8888888888888888,0.0,3.0,0.0,0.0,3.0,1.0,0.0,5.0,0.0,0.0,5.0,1.0,0.0,10.0,0.0,0.0,10.0,1.0,0.0,19.0,1.0,0.0,20.0,0.95,0.0,,,3,0,3,1.0,0,-3333,1250
210,210,10466,Philadelphia Fusion,Dallas Fuel,Overwatch League - Stage 4,Dallas Fuel,2018-05-27,False,22.0,13.0,8.0,25.0,35.0,33.0,0.6285714285714286,0.24242424242424246,22.0,13.0,8.0,25.0,35.0,33.0,0.6285714285714286,0.24242424242424246,3.0,0.0,2.0,1.0,1.0,0.6666666666666666,4.0,1.0,2.0,3.0,0.8,0.4,6.0,4.0,2.0,8.0,0.6,0.2,13.0,7.0,3.0,17.0,0.65,0.15,,,3,0,3,1.0,1,-385,299
211,211,10467,Philadelphia Fusion,New York Excelsior,Overwatch League - Stage 4,New York Excelsior,2018-05-30,False,22.0,14.0,34.0,4.0,36.0,38.0,0.6111111111111112,0.8947368421052632,22.0,14.0,34.0,4.0,36.0,38.0,0.6111111111111112,0.8947368421052632,2.0,1.0,3.0,0.0,0.6666666666666666,1.0,3.0,2.0,5.0,0.0,0.6,1.0,5.0,5.0,10.0,0.0,0.5,1.0,13.0,7.0,19.0,1.0,0.65,0.95,,,1,3,4,0.25,1,379,-625
212,212,10468,Shanghai Dragons,Seoul Dynasty,Overwatch League - Stage 4,Seoul Dynasty,2018-05-31,False,0.0,34.0,19.0,15.0,34.0,34.0,0.0,0.5588235294117647,0.0,34.0,19.0,15.0,34.0,34.0,0.0,0.5588235294117647,0.0,3.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,10.0,3.0,7.0,0.0,0.3,0.0,20.0,8.0,12.0,0.0,0.4,,,0,3,3,0.0,1,526,-1000
213,213,10469,Los Angeles Gladiators,Los Angeles Valiant,Overwatch League - Stage 4,Los Angeles Valiant,2018-05-31,False,20.0,15.0,22.0,13.0,35.0,35.0,0.5714285714285714,0.6285714285714286,20.0,15.0,22.0,13.0,35.0,35.0,0.5714285714285714,0.6285714285714286,3.0,0.0,3.0,0.0,1.0,1.0,4.0,1.0,5.0,0.0,0.8,1.0,7.0,3.0,6.0,4.0,0.7,0.6,13.0,7.0,12.0,8.0,0.65,0.6,,,1,2,3,0.3333333333333333,1,-238,181
214,214,10470,Boston Uprising,London Spitfire,Overwatch League - Stage 4,London Spitfire,2018-05-31,False,23.0,13.0,24.0,13.0,36.0,37.0,0.6388888888888888,0.6486486486486487,23.0,13.0,24.0,13.0,36.0,37.0,0.6388888888888888,0.6486486486486487,0.0,3.0,2.0,1.0,0.0,0.6666666666666666,0.0,5.0,3.0,2.0,0.0,0.6,5.0,5.0,6.0,4.0,0.5,0.6,15.0,5.0,11.0,9.0,0.75,0.55,,,2,1,3,0.6666666666666666,1,165,-217
215,215,10471,Dallas Fuel,San Francisco Shock,Overwatch League - Stage 4,San Francisco Shock,2018-06-01,False,9.0,25.0,14.0,20.0,34.0,34.0,0.2647058823529412,0.4117647058823529,9.0,25.0,14.0,20.0,34.0,34.0,0.2647058823529412,0.4117647058823529,2.0,1.0,2.0,1.0,0.6666666666666666,0.6666666666666666,3.0,2.0,3.0,2.0,0.6,0.6,3.0,7.0,6.0,4.0,0.3,0.6,4.0,16.0,10.0,10.0,0.2,0.5,,,1,2,3,0.3333333333333333,1,123,-161
216,216,10472,Los Angeles Gladiators,Philadelphia Fusion,Overwatch League - Stage 4,Los Angeles Gladiators,2018-06-01,False,20.0,16.0,22.0,15.0,36.0,37.0,0.5555555555555556,0.5945945945945946,20.0,16.0,22.0,15.0,36.0,37.0,0.5555555555555556,0.5945945945945946,2.0,1.0,1.0,2.0,0.6666666666666666,0.3333333333333333,4.0,1.0,3.0,2.0,0.8,0.6,7.0,3.0,5.0,5.0,0.7,0.5,12.0,8.0,12.0,8.0,0.6,0.6,,,1,1,2,0.5,0,-179,135
217,217,10473,Shanghai Dragons,Houston Outlaws,Overwatch League - Stage 4,Houston Outlaws,2018-06-01,False,0.0,35.0,18.0,17.0,35.0,35.0,0.0,0.5142857142857142,0.0,35.0,18.0,17.0,35.0,35.0,0.0,0.5142857142857142,0.0,3.0,1.0,2.0,0.0,0.3333333333333333,0.0,5.0,2.0,3.0,0.0,0.4,0.0,10.0,5.0,5.0,0.0,0.5,0.0,20.0,9.0,11.0,0.0,0.45,,,0,2,2,0.0,1,707,-1667
218,218,10474,Seoul Dynasty,Florida Mayhem,Overwatch League - Stage 4,Seoul Dynasty,2018-06-02,False,20.0,15.0,6.0,28.0,35.0,34.0,0.5714285714285714,0.17647058823529413,20.0,15.0,6.0,28.0,35.0,34.0,0.5714285714285714,0.17647058823529413,1.0,2.0,0.0,3.0,0.3333333333333333,0.0,1.0,4.0,0.0,5.0,0.2,0.0,3.0,7.0,2.0,8.0,0.3,0.2,8.0,12.0,5.0,15.0,0.4,0.25,,,2,0,2,1.0,0,-357,261
219,219,10475,San Francisco Shock,Boston Uprising,Overwatch League - Stage 4,San Francisco Shock,2018-06-02,False,15.0,20.0,23.0,14.0,35.0,37.0,0.42857142857142855,0.6216216216216216,15.0,20.0,23.0,14.0,35.0,37.0,0.42857142857142855,0.6216216216216216,2.0,1.0,0.0,3.0,0.6666666666666666,0.0,3.0,2.0,0.0,5.0,0.6,0.0,6.0,4.0,4.0,6.0,0.6,0.4,10.0,10.0,14.0,6.0,0.5,0.7,,,1,1,2,0.5,0,-294,218
220,220,10476,Dallas Fuel,London Spitfire,Overwatch League - Stage 4,Dallas Fuel,2018-06-02,False,9.0,26.0,25.0,13.0,35.0,38.0,0.2571428571428571,0.6578947368421053,9.0,26.0,25.0,13.0,35.0,38.0,0.2571428571428571,0.6578947368421053,2.0,1.0,3.0,0.0,0.6666666666666666,1.0,3.0,2.0,3.0,2.0,0.6,0.6,3.0,7.0,7.0,3.0,0.3,0.7,4.0,16.0,12.0,8.0,0.2,0.6,,,0,2,2,0.0,0,195,-263
221,221,10477,Los Angeles Valiant,New York Excelsior,Overwatch League - Stage 4,Los Angeles Valiant,2018-06-02,False,23.0,13.0,35.0,4.0,36.0,39.0,0.6388888888888888,0.8974358974358975,23.0,13.0,35.0,4.0,36.0,39.0,0.6388888888888888,0.8974358974358975,3.0,0.0,3.0,0.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,1.0,7.0,3.0,10.0,0.0,0.7,1.0,12.0,8.0,19.0,1.0,0.6,0.95,,,0,3,3,0.0,0,,
222,222,10478,Houston Outlaws,Florida Mayhem,Overwatch League - Stage 4,Houston Outlaws,2018-06-03,False,19.0,17.0,6.0,29.0,36.0,35.0,0.5277777777777778,0.17142857142857146,19.0,17.0,6.0,29.0,36.0,35.0,0.5277777777777778,0.17142857142857146,1.0,2.0,0.0,3.0,0.3333333333333333,0.0,3.0,2.0,0.0,5.0,0.6,0.0,5.0,5.0,2.0,8.0,0.5,0.2,10.0,10.0,5.0,15.0,0.5,0.25,,,3,0,3,1.0,0,,
223,223,10479,Boston Uprising,Seoul Dynasty,Overwatch League - Stage 4,Boston Uprising,2018-06-06,False,23.0,15.0,21.0,15.0,38.0,36.0,0.6052631578947368,0.5833333333333334,23.0,15.0,21.0,15.0,38.0,36.0,0.6052631578947368,0.5833333333333334,0.0,3.0,2.0,1.0,0.0,0.6666666666666666,0.0,5.0,2.0,3.0,0.0,0.4,3.0,7.0,4.0,6.0,0.3,0.4,13.0,7.0,8.0,12.0,0.65,0.4,,,1,1,2,0.5,0,143,-185
224,224,10480,Florida Mayhem,Shanghai Dragons,Overwatch League - Stage 4,Florida Mayhem,2018-06-07,False,6.0,30.0,0.0,36.0,36.0,36.0,0.16666666666666666,0.0,6.0,30.0,0.0,36.0,36.0,36.0,0.16666666666666666,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,1.0,9.0,0.0,10.0,0.1,0.0,4.0,16.0,0.0,20.0,0.2,0.0,,,2,0,2,1.0,0,-370,269
225,225,10481,Houston Outlaws,Dallas Fuel,Overwatch League - Stage 4,Houston Outlaws,2018-06-07,False,20.0,17.0,10.0,26.0,37.0,36.0,0.5405405405405406,0.2777777777777778,20.0,17.0,10.0,26.0,37.0,36.0,0.5405405405405406,0.2777777777777778,2.0,1.0,2.0,1.0,0.6666666666666666,0.6666666666666666,3.0,2.0,3.0,2.0,0.6,0.6,5.0,5.0,4.0,6.0,0.5,0.4,10.0,10.0,5.0,15.0,0.5,0.25,,,2,0,2,1.0,0,-106,-123
226,226,10482,London Spitfire,Los Angeles Valiant,Overwatch League - Stage 4,Los Angeles Valiant,2018-06-07,False,25.0,14.0,24.0,13.0,39.0,37.0,0.6410256410256411,0.6486486486486487,25.0,14.0,24.0,13.0,39.0,37.0,0.6410256410256411,0.6486486486486487,2.0,1.0,3.0,0.0,0.6666666666666666,1.0,3.0,2.0,5.0,0.0,0.6,1.0,6.0,4.0,8.0,2.0,0.6,0.8,11.0,9.0,13.0,7.0,0.55,0.65,,,2,0,2,1.0,1,150,-200
227,227,10483,New York Excelsior,Los Angeles Gladiators,Overwatch League - Stage 4,Los Angeles Gladiators,2018-06-08,False,35.0,5.0,21.0,16.0,40.0,37.0,0.875,0.5675675675675675,35.0,5.0,21.0,16.0,40.0,37.0,0.875,0.5675675675675675,2.0,1.0,2.0,1.0,0.6666666666666666,0.6666666666666666,4.0,1.0,4.0,1.0,0.8,0.8,9.0,1.0,7.0,3.0,0.9,0.7,18.0,2.0,12.0,8.0,0.9,0.6,,,2,0,2,1.0,1,-1667,700
228,228,10484,Philadelphia Fusion,San Francisco Shock,Overwatch League - Stage 4,Philadelphia Fusion,2018-06-08,False,22.0,16.0,16.0,20.0,38.0,36.0,0.5789473684210527,0.4444444444444444,22.0,16.0,16.0,20.0,38.0,36.0,0.5789473684210527,0.4444444444444444,0.0,3.0,3.0,0.0,0.0,1.0,2.0,3.0,4.0,1.0,0.4,0.8,5.0,5.0,6.0,4.0,0.5,0.6,11.0,9.0,11.0,9.0,0.55,0.55,,,1,1,2,0.5,0,168,-227
229,229,10485,Shanghai Dragons,Boston Uprising,Overwatch League - Stage 4,Boston Uprising,2018-06-08,False,0.0,37.0,24.0,15.0,37.0,39.0,0.0,0.6153846153846154,0.0,37.0,24.0,15.0,37.0,39.0,0.0,0.6153846153846154,0.0,3.0,1.0,2.0,0.0,0.3333333333333333,0.0,5.0,1.0,4.0,0.0,0.2,0.0,10.0,3.0,7.0,0.0,0.3,0.0,20.0,13.0,7.0,0.0,0.65,,,0,2,2,0.0,1,534,-1000
230,230,10486,Dallas Fuel,Florida Mayhem,Overwatch League - Stage 4,Dallas Fuel,2018-06-09,False,10.0,27.0,7.0,30.0,37.0,37.0,0.2702702702702703,0.1891891891891892,10.0,27.0,7.0,30.0,37.0,37.0,0.2702702702702703,0.1891891891891892,1.0,2.0,1.0,2.0,0.3333333333333333,0.3333333333333333,3.0,2.0,1.0,4.0,0.6,0.2,4.0,6.0,1.0,9.0,0.4,0.1,5.0,15.0,4.0,16.0,0.25,0.2,,,0,2,2,0.0,0,-303,252
231,231,10487,Seoul Dynasty,Philadelphia Fusion,Overwatch League - Stage 4,Philadelphia Fusion,2018-06-09,False,21.0,16.0,23.0,16.0,37.0,39.0,0.5675675675675675,0.5897435897435898,21.0,16.0,23.0,16.0,37.0,39.0,0.5675675675675675,0.5897435897435898,2.0,1.0,1.0,2.0,0.6666666666666666,0.3333333333333333,2.0,3.0,2.0,3.0,0.4,0.4,3.0,7.0,6.0,4.0,0.3,0.6,8.0,12.0,11.0,9.0,0.4,0.55,,,2,0,2,1.0,1,202,-263
232,232,10488,Los Angeles Gladiators,London Spitfire,Overwatch League - Stage 4,Los Angeles Gladiators,2018-06-09,False,22.0,16.0,25.0,15.0,38.0,40.0,0.5789473684210527,0.625,22.0,16.0,25.0,15.0,38.0,40.0,0.5789473684210527,0.625,2.0,1.0,1.0,2.0,0.6666666666666666,0.3333333333333333,4.0,1.0,3.0,2.0,0.8,0.6,7.0,3.0,6.0,4.0,0.7,0.6,12.0,8.0,10.0,10.0,0.6,0.5,,,2,0,2,1.0,0,,
233,233,10489,San Francisco Shock,New York Excelsior,Overwatch League - Stage 4,New York Excelsior,2018-06-09,False,16.0,21.0,35.0,6.0,37.0,41.0,0.4324324324324325,0.8536585365853658,16.0,21.0,35.0,6.0,37.0,41.0,0.4324324324324325,0.8536585365853658,2.0,1.0,1.0,2.0,0.6666666666666666,0.3333333333333333,3.0,2.0,3.0,2.0,0.6,0.6,6.0,4.0,8.0,2.0,0.6,0.8,11.0,9.0,17.0,3.0,0.55,0.85,,,0,2,2,0.0,1,,
234,234,10490,Los Angeles Valiant,Houston Outlaws,Overwatch League - Stage 4,Los Angeles Valiant,2018-06-10,False,25.0,13.0,21.0,17.0,38.0,38.0,0.6578947368421053,0.5526315789473685,25.0,13.0,21.0,17.0,38.0,38.0,0.6578947368421053,0.5526315789473685,3.0,0.0,3.0,0.0,1.0,1.0,5.0,0.0,3.0,2.0,1.0,0.6,8.0,2.0,5.0,5.0,0.8,0.5,14.0,6.0,11.0,9.0,0.7,0.55,,,1,1,2,0.5,0,,
235,235,10621,Shanghai Dragons,Los Angeles Gladiators,Overwatch League - Stage 4,Los Angeles Gladiators,2018-06-13,False,0.0,38.0,23.0,16.0,38.0,39.0,0.0,0.5897435897435898,0.0,38.0,23.0,16.0,38.0,39.0,0.0,0.5897435897435898,0.0,3.0,3.0,0.0,0.0,1.0,0.0,5.0,4.0,1.0,0.0,0.8,0.0,10.0,7.0,3.0,0.0,0.7,0.0,20.0,13.0,7.0,0.0,0.65,,,0,3,3,0.0,1,1169,-3333
236,236,10622,San Francisco Shock,Los Angeles Valiant,Overwatch League - Stage 4,Los Angeles Valiant,2018-06-14,False,16.0,22.0,26.0,13.0,38.0,39.0,0.42105263157894735,0.6666666666666666,16.0,22.0,26.0,13.0,38.0,39.0,0.42105263157894735,0.6666666666666666,1.0,2.0,3.0,0.0,0.3333333333333333,1.0,3.0,2.0,5.0,0.0,0.6,1.0,6.0,4.0,9.0,1.0,0.6,0.9,10.0,10.0,15.0,5.0,0.5,0.75,,,0,3,3,0.0,1,238,-312
