,Unnamed: 0,id,team_one,team_two,stage,winner,date,corona_virus_isolation,t1_wins_season,t1_losses_season,t2_wins_season,t2_losses_season,t1_matches_season,t2_matches_season,t1_win_percent_season,t2_win_percent_season,t1_wins_alltime,t1_losses_alltime,t2_wins_alltime,t2_losses_alltime,t1_matches_alltime,t2_matches_alltime,t1_win_percent_alltime,t2_win_percent_alltime,t1_wins_last_3,t1_losses_last_3,t2_wins_last_3,t2_losses_last_3,t1_win_percent_last_3,t2_win_percent_last_3,t1_wins_last_5,t1_losses_last_5,t2_wins_last_5,t2_losses_last_5,t1_win_percent_last_5,t2_win_percent_last_5,t1_wins_last_10,t1_losses_last_10,t2_wins_last_10,t2_losses_last_10,t1_win_percent_last_10,t2_win_percent_last_10,t1_wins_last_20,t1_losses_last_20,t2_wins_last_20,t2_losses_last_20,t1_win_percent_last_20,t2_win_percent_last_20,t1_place_last_season,t2_place_last_season,t1_wins_vs_t2,t1_losses_vs_t2,t1_matches_vs_t2,t1_win_percent_vs_t2,winner_label,t1_odds,t2_odds
16,16,10239,Los Angeles Valiant,New York Excelsior,Overwatch League - Stage 1,New York Excelsior,2018-01-19,False,2.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,1,,
17,17,10240,Los Angeles Gladiators,Philadelphia Fusion,Overwatch League - Stage 1,Los Angeles Gladiators,2018-01-19,False,1.0,1.0,2.0,1.0,2.0,3.0,0.5,0.6666666666666666,1.0,1.0,2.0,1.0,2.0,3.0,0.5,0.6666666666666666,,,2.0,1.0,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,-101,-132
18,18,10241,Boston Uprising,Seoul Dynasty,Overwatch League - Stage 1,Seoul Dynasty,2018-01-20,False,1.0,1.0,3.0,0.0,2.0,3.0,0.5,1.0,1.0,1.0,3.0,0.0,2.0,3.0,0.5,1.0,,,3.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,0,0,0,,1,,
19,19,10242,Florida Mayhem,Shanghai Dragons,Overwatch League - Stage 1,Florida Mayhem,2018-01-20,False,0.0,3.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,-526,333
20,20,10243,Dallas Fuel,London Spitfire,Overwatch League - Stage 1,London Spitfire,2018-01-20,False,0.0,3.0,2.0,0.0,3.0,2.0,0.0,1.0,0.0,3.0,2.0,0.0,3.0,2.0,0.0,1.0,0.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,1,480,-833
21,21,10244,London Spitfire,Los Angeles Valiant,Overwatch League - Stage 1,London Spitfire,2018-01-20,False,2.0,0.0,2.0,1.0,2.0,3.0,1.0,0.6666666666666666,2.0,0.0,2.0,1.0,2.0,3.0,1.0,0.6666666666666666,,,2.0,1.0,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,-385,313
22,22,10245,New York Excelsior,Los Angeles Gladiators,Overwatch League - Stage 1,New York Excelsior,2018-01-20,False,3.0,0.0,2.0,1.0,3.0,3.0,1.0,0.6666666666666666,3.0,0.0,2.0,1.0,3.0,3.0,1.0,0.6666666666666666,3.0,0.0,2.0,1.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,-1250,600
23,23,10246,San Francisco Shock,Boston Uprising,Overwatch League - Stage 1,San Francisco Shock,2018-01-20,False,1.0,2.0,1.0,1.0,3.0,2.0,0.3333333333333333,0.5,1.0,2.0,1.0,1.0,3.0,2.0,0.3333333333333333,0.5,1.0,2.0,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,204,-286
24,24,10247,London Spitfire,San Francisco Shock,Overwatch League - Stage 1,London Spitfire,2018-01-25,False,4.0,0.0,2.0,2.0,4.0,4.0,1.0,0.5,4.0,0.0,2.0,2.0,4.0,4.0,1.0,0.5,3.0,0.0,2.0,1.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,
25,25,10248,Seoul Dynasty,Shanghai Dragons,Overwatch League - Stage 1,Seoul Dynasty,2018-01-25,False,4.0,0.0,0.0,4.0,4.0,4.0,1.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,1.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,-,1985
